ResponseId,Finished,Survey,Statistical_Organization,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert
R_3fJzX6lUowC9Eqm,1,SLS-2,1,action,0,0,4,0,4,1,6,1,4,0,3,1,3,1,3,0,4,1,3,0,2,3,2,5,16,12,28,4,2,3,2,2,1,5,2,7,14
R_27JBGeyWlu3EFI3,1,SLS-3,1,control,17,0,0,0,17,1,5,0,3,1,6,1,4,1,6,0,3,1,6,1,5,3,3,6,18,20,38,6,2,5,0,3,1,3,1,4,17
R_1gtnRHluySObaEd,1,SLS-3,1,stationary,0,6,4,0,10,0,3,0,5,0,4,1,4,1,2,0,3,0,5,1,3,1,2,3,16,13,29,3,2,4,2,5,0,2,1,5,14
R_4SJVKhER6MUhxNn,1,SLS-3,1,stationary,0,0,12,3,15,0,5,0,4,0,4,1,4,1,4,1,4,1,4,0,4,1,3,4,17,16,33,4,2,4,1,4,2,4,2,7,16
R_1d5XYx82RrqtMGa,1,SLS-3,1,stationary,0,0,2,8,10,0,4,0,5,1,4,1,4,1,4,1,5,1,4,1,5,2,4,6,17,18,35,4,1,4,1,5,2,5,2,6,18
R_1isvn10Ya3STFTi,1,SLS-3,1,control,8,0,10,0,18,1,1,1,1,0,1,0,1,1,4,0,1,1,1,0,1,2,2,4,4,7,11,7,2,5,0,2,1,5,1,4,19
R_27x3rOFJ0mxbfzl,1,SLS-1,1,control,0,0,0,0,0,1,7,1,4,1,5,1,5,1,7,1,5,1,7,0,3,4,3,7,21,22,43,5,3,3,2,4,1,3,2,8,15
R_1Kwq1MUhgnoFENe,1,SLS-1,1,action,0,0,2,5,7,1,5,0,5,0,5,1,6,0,6,0,6,1,7,1,7,2,2,4,21,26,47,5,2,6,2,5,1,5,1,6,21
R_1KqYfSodSCUQVfp,1,SLS-1,1,control,0,0,0,1,1,1,4,1,5,1,5,1,5,0,4,1,3,1,6,1,4,4,3,7,19,17,36,2,1,4,2,5,1,3,2,6,14
R_Toc7KrnXwSl8JsB,1,SLS-1,1,action,0,0,0,17,17,0,2,1,4,1,6,1,3,1,2,1,3,1,6,1,3,3,4,7,15,14,29,5,2,3,1,3,2,2,2,7,13
